型号,功率KW,空气密度kg/M^3,转速（转/分）,输出电压V,风速m/s,label
WT1500-82,1500.0,0.9,400.0,220.0,25.0,1
WT1500-82,1584.5343962725826,0.8086358418699154,364.1599608331953,226.8225744917406,26.558918367437585,1
WT1500-82,1519.3844194381602,0.7985341378376788,396.6549887792534,209.91203674601957,21.35498038193748,1
WT1500-82,1508.6787175052434,0.8092480970860988,394.54061110365876,203.64361906902934,23.91089605961999,1
WT1500-82,1333.866674959674,0.6428927857247841,481.7107492060027,231.8274477320591,29.495458982735695,1
WT1500-82,1302.1152379189232,0.93575881119722,448.7438930630186,267.96215367683976,37.433903258139324,1
WT1500-82,2132.633058204334,0.7922415502162627,378.07817886400164,250.1381273425577,20.43374239382056,1
WT1500-82,1507.3426307234688,0.8117575259324246,437.03827109229405,199.2618145543055,19.364681370140836,1
WT1500-82,1859.8815716362533,1.0712025539904912,386.3567742193398,271.16567423242606,32.57046614315108,1
WT1500-82,1134.1632909977618,0.8271777398481097,437.2372175202546,222.50130401513735,16.803544585311545,1
WT1500-82,1307.355085183342,0.7752137987634631,410.75286425755644,242.25127708367762,27.14946801503174,1
WT1500-82,1701.377180100979,1.226862970577866,385.7985509921434,242.6931873874939,11.843597213680907,1
WT1500-82,1459.787634378887,0.9026046818443297,477.0752063760916,231.19227261913335,21.990888750220687,1
WT1500-82,1502.4772674818503,0.9292972723934073,403.80669517082436,226.3055792280655,26.679408074711226,1
WT1500-82,1686.4227070250374,0.8355719216856707,386.34393503310383,192.6804214887991,18.811310783871765,1
WT1500-82,1619.2426558160812,0.9605235266430809,367.52298407141416,245.4332691460835,24.444359166162517,1
WT1500-82,1837.007100121051,1.0578657750549894,383.98005096750967,204.61687535636844,24.354243760482422,1
WT1500-82,1757.5718125756173,0.9718136665127947,375.6505911482267,148.0488512310639,24.619361938923312,1
WT1500-82,1486.5700316171376,1.2046946813744892,440.94922088437255,217.87072203997636,25.77564079279306,1
WT1500-82,2254.28846959026,0.9266766336061085,453.7093462910687,269.4875522187493,21.828873284160377,1
WT1500-82,1009.9603377559215,1.1139353860547245,400.341633664962,226.1435910078237,20.946724982869654,1
WT1500-82,1885.058547923598,0.9932821703973532,414.10118719058096,230.22632241488594,23.22595695513833,1
WT1500-82,1164.4222053420947,0.6770119409888791,406.5427731056107,229.58314533587472,15.93704843094987,1
WT1500-82,1352.3284520752293,1.1335288082636643,381.97027486894706,268.83011416050584,31.78237902139355,1
WT1500-82,1547.7240322381529,1.0750196988357892,426.5845278861281,226.98427372767514,27.31815982945667,1
WT1500-82,1924.606652434406,1.0539829735378745,444.5389931007459,214.1028304544252,20.876730776779684,1
WT1500-82,1155.5493540874647,1.0016653922614267,356.1521092429703,239.33757127679445,30.882157402085546,1
WT1500-82,1810.9627890845204,0.8569093792999298,400.3389067698071,208.2334873589345,17.177551702086127,1
WT1500-82,1481.285400837777,0.7901552576367826,415.7106774109348,241.70689608868906,21.436474527323576,1
WT1500-82,1297.9131774402358,0.9438140412896144,347.25324096923134,223.77337892175356,25.905032989311305,1
WT1500-82,1500.8653627220724,0.9044002771260375,372.67488570989957,165.8427267730048,22.32900237206505,1
